189,弗兰克·德拉邦特,绿里奇迹,190,8.7,101587,189,440278,4.334,0.745,1999
190,雅克·贝汉,迁徙的鸟,191,9.1,50345,98,229422,4.557,0.644,2001
191,昆汀·塔伦蒂诺,被解救的姜戈,192,8.5,248382,163,1059597,4.266,0.729,2012
192,小津安二郎,东京物语,193,9.2,47774,136,218996,4.584,0.635,1953
193,迈克尔·贝,勇闯夺命岛,194,8.5,136382,136,581669,4.265,0.719,1996
194,西恩·潘,荒野生存,195,8.6,121818,148,524426,4.305,0.815,2007
195,雷德利·斯科特,末路狂花,196,8.7,99314,130,432015,4.35,0.714,1991
196,迈克尔·柯蒂斯,卡萨布兰卡,197,8.6,119019,102,510591,4.29,0.726,1942
197,徐克,青蛇,198,8.4,208562,99,875751,4.199,0.754,1993
198,詹姆斯·卡梅隆,终结者2：审判日,199,8.5,134491,137,574142,4.269,0.737,1991
199,神山征二郎,忠犬八公物语,200,9,53452,107,240534,4.5,0.687,1987
200,岩井俊二,燕尾蝶,201,8.6,104605,146,452102,4.322,0.764,1996
201,理查德·沙因克曼,这个男人来自地球,202,8.5,168765,87,713707,4.229,0.847,2007
202,严定宪,哪吒闹海,203,8.8,75204,65,331800,4.412,0.716,1979
203,吴宇森,变脸,204,8.4,205036,138,858485,4.187,0.718,1997
204,安东尼·明格拉,英国病人,205,8.4,167948,162,708068,4.216,0.756,1996
205,邓肯·琼斯,源代码,206,8.3,390992,93,1625744,4.158,0.714,2011
206,史蒂文·斯皮尔伯格,E.T.,207,8.5,145344,115,616258,4.24,0.723,1982
207,李惠民,新龙门客栈,208,8.4,173403,88,731934,4.221,0.711,1992
208,赛尔乔·莱翁内,黄金三镖客,209,9.1,48651,161,221021,4.543,0.665,1966
209,斯坦利·库布里克,发条橙,210,8.4,178237,136,749843,4.207,0.81,1971
210,莉莉·沃卓斯基,黑客帝国3：矩阵革命,211,8.5,146988,129,623229,4.24,0.784,2003
211,彼得·维纳,叫我第一名,212,8.6,104195,95,447934,4.299,0.714,2008
212,萨姆·门德斯,美国丽人,213,8.4,176140,122,742077,4.213,0.744,1999
213,查理·卓别林,城市之光,214,9.2,40712,87,187763,4.612,0.598,1931
214,大卫·林奇,穆赫兰道,215,8.3,223622,147,930938,4.163,0.89,2001
215,布莱恩·辛格,非常嫌疑犯,216,8.6,110336,106,473231,4.289,0.725,1995
216,昆汀·塔伦蒂诺,无耻混蛋,217,8.4,213168,153,896158,4.204,0.759,2009
217,普特鹏·普罗萨卡·那·萨克那卡林,初恋这件小事,218,8.3,435895,118,1798502,4.126,0.816,2010
218,加文·欧康诺,勇士,219,8.9,83771,140,371021,4.429,0.716,2011
219,加美·尤伊斯,上帝也疯狂,220,8.6,91843,109,396853,4.321,0.751,1980
220,莫滕·泰杜姆,模仿游戏,221,8.5,239367,114,1022575,4.272,0.723,2014
221,易智言,蓝色大门,222,8.3,263861,85,1088690,4.126,0.774,2002
222,李廷香,爱·回家,223,9,45178,80,204340,4.523,0.693,2002
223,瑞奇·摩尔,无敌破坏王,224,8.6,176286,101,761908,4.322,0.738,2012
224,艾伦·帕克,大卫·戈尔的一生,225,8.7,84686,130,366351,4.326,0.714,2003
225,爱德华·兹威克,血钻,226,8.5,122977,143,521422,4.24,0.692,2006
226,理查德·林克莱特,爱在午夜降临前,227,8.8,107992,109,472680,4.377,0.758,2013
227,约翰·卡尼,曾经,228,8.3,195427,85,813367,4.162,0.792,2007
228,汤姆·霍珀,国王的演讲,229,8.3,321773,118,1334392,4.147,0.712,2010
229,袁建滔,麦兜故事,230,8.5,121954,75,517450,4.243,0.768,2001
230,杜琪峰,枪火,231,8.6,93622,84,402480,4.299,0.744,1999
231,米歇尔·贡德里,暖暖内含光,232,8.4,137822,108,581608,4.22,0.779,2004
232,宁浩,疯狂的石头,233,8.2,293448,106,1205484,4.108,0.78,2006
233,罗伯·莱纳,遗愿清单,234,8.5,119155,97,505455,4.242,0.715,2007
234,费利普·弥勒,蝴蝶,235,8.6,92148,85,395222,4.289,0.694,2002
235,安德鲁·尼科尔,千钧一发,236,8.7,79451,106,344420,4.335,0.706,1997
236,洛朗·蒂拉尔,巴黎淘气帮,237,8.6,101307,92,436835,4.312,0.707,2009
237,罗伯特·泽米吉斯,荒岛余生,238,8.4,125287,143,529337,4.225,0.705,2000
238,凯文·科斯特纳,与狼共舞,239,8.9,53918,181,239449,4.441,0.684,1990
239,伦尼·阿伯拉罕森,房间,240,8.8,136928,118,599333,4.377,0.662,2015
240,盖·里奇,偷拐抢骗,241,8.5,110892,104,471291,4.25,0.719,2000
241,邓肯·琼斯,月球,242,8.5,135878,97,576122,4.24,0.719,2009
242,彼特·道格特,头脑特工队,243,8.7,206346,95,894097,4.333,0.762,2015
243,秋昌旼,我爱你,244,9,52311,118,234824,4.489,0.701,2011
244,尼尔·乔丹,夜访吸血鬼,245,8.3,189233,123,784370,4.145,0.778,1994
245,大卫·贾柏,寿司之神,246,8.8,77819,81,340847,4.38,0.708,2011
246,詹姆斯·沃德·布柯特,彗星来的那一夜,247,8.4,157857,89,659684,4.179,0.77,2013
247,克林特·伊斯特伍德,廊桥遗梦,248,8.6,93121,135,398278,4.277,0.761,1995
248,楚克‧萨克瑞科,爱在暹罗,249,8.3,212076,150,876510,4.133,0.814,2007
249,沃尔特·塞勒斯,中央车站,250,8.7,73171,113,317123,4.334,0.681,1998
